                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5276,                 4.1709,                 3.4904,                0.44068,                 0.4728,                0.38491,                0.13299,                 2.4084,                 2.4498,                 2.8474,             0.00066213,             0.00066213,             0.00066213
                      2,                 2.0655,                  1.949,                 2.2037,                0.18908,                0.59883,                0.16985,                0.08417,                  1.672,                 2.3897,                 2.0483,              0.0013025,              0.0013025,              0.0013025
                      3,                 1.7673,                 1.4245,                  1.833,                0.50583,                0.73815,                0.48233,                0.24057,                 1.6351,                 1.5482,                  1.872,              0.0019164,              0.0019164,              0.0019164
                      4,                 1.6312,                 1.2348,                 1.6865,                0.89088,                0.86682,                0.90182,                0.35411,                 1.8486,                  1.121,                 1.9043,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.513,                 1.1128,                 1.5454,                0.94778,                0.89761,                0.93988,                0.52559,                 1.4056,                0.99941,                 1.6394,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4296,                 1.0393,                 1.4881,                0.91676,                0.90587,                0.94799,                0.52412,                 1.3442,                 1.1583,                 1.5165,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3859,                0.96262,                 1.4262,                0.93137,                0.90852,                0.95647,                0.60503,                  1.197,                0.90797,                 1.4343,               0.001802,               0.001802,               0.001802
                      8,                 1.3622,                 0.9275,                 1.4014,                 0.9549,                 0.9329,                0.96008,                0.60927,                 1.1682,                0.86012,                 1.3935,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3758,                0.93057,                 1.4007,                0.95945,                0.93326,                0.97049,                0.59678,                 1.2638,                0.81089,                 1.4352,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3214,                0.89403,                 1.3747,                0.96742,                0.93538,                0.96728,                0.60987,                  1.177,                0.86016,                 1.4095,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2941,                0.87232,                 1.3523,                0.96464,                0.94377,                0.96857,                 0.6079,                 1.2061,                0.76055,                 1.3995,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2816,                0.82655,                 1.3239,                0.96716,                0.95159,                  0.972,                0.63085,                 1.1593,                 0.7634,                 1.3801,               0.001604,               0.001604,               0.001604
                     13,                 1.2532,                0.82164,                 1.3166,                0.97502,                0.94587,                0.97555,                 0.6491,                 1.1517,                0.70767,                 1.3517,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2594,                0.79124,                 1.3063,                0.96993,                0.93538,                 0.9702,                0.63502,                 1.1304,                0.77235,                 1.3497,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.228,                0.78476,                  1.288,                0.96029,                0.94083,                0.97369,                0.64092,                 1.1122,                0.78894,                 1.3431,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2405,                0.79026,                 1.3058,                0.95457,                0.93412,                0.96791,                0.64771,                 1.0732,                 0.7642,                  1.315,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2289,                0.77097,                 1.2918,                0.97633,                0.95468,                0.98019,                0.64834,                  1.145,                0.68959,                 1.3407,               0.001406,               0.001406,               0.001406
                     18,                 1.2132,                 0.7673,                 1.2867,                0.97413,                0.94814,                0.97428,                0.65542,                 1.1091,                0.68217,                 1.2973,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2108,                0.74648,                 1.2619,                0.97982,                0.95132,                0.98237,                0.66848,                 1.0791,                0.64942,                 1.3019,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2001,                 0.7265,                 1.2657,                 0.9826,                0.95006,                0.98159,                0.66862,                 1.0844,                0.61682,                 1.3058,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1877,                0.72353,                 1.2689,                 0.9697,                0.95552,                0.98046,                0.67395,                 1.0036,                 0.7577,                 1.2633,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1711,                0.72194,                 1.2427,                0.96474,                0.95302,                0.97615,                0.66451,                 1.0683,                0.69856,                 1.2881,               0.001208,               0.001208,               0.001208
                     23,                 1.1654,                 0.7004,                 1.2547,                0.97205,                0.96321,                0.98588,                0.68161,                 1.0338,                0.65061,                 1.2617,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1482,                0.69569,                 1.2393,                0.96911,                0.96092,                0.98102,                0.66897,                 1.1292,                0.62775,                 1.3039,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1419,                0.68453,                 1.2287,                 0.9767,                0.95888,                0.98548,                0.70203,                 1.0056,                0.61037,                 1.2437,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1385,                0.68687,                 1.2196,                0.96963,                0.96454,                 0.9851,                0.65157,                 1.1033,                0.67425,                  1.286,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1503,                0.67068,                 1.2354,                0.97648,                0.95636,                0.98486,                0.69357,                 1.0027,                0.61404,                  1.245,                0.00101,                0.00101,                0.00101
                     28,                  1.137,                0.66953,                 1.2318,                0.97384,                0.95309,                0.98281,                0.69155,                 1.0116,                0.60769,                 1.2466,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1334,                 0.6703,                 1.2196,                0.98025,                0.95785,                0.98221,                 0.6862,                 1.0502,                0.60286,                  1.253,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1326,                0.67346,                  1.218,                0.97612,                0.96223,                0.98656,                0.70424,                0.98369,                0.60913,                 1.2253,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1009,                 0.6549,                 1.2038,                0.97694,                0.96937,                0.98475,                0.70138,                0.99719,                0.58991,                 1.2465,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0965,                0.63522,                 1.2002,                0.97922,                0.96907,                0.98679,                0.69898,                0.99557,                0.57454,                 1.2508,               0.000812,               0.000812,               0.000812
                     33,                 1.0922,                0.63462,                 1.1892,                0.98463,                0.96759,                0.98762,                 0.7132,                 0.9672,                 0.5692,                 1.2145,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.1102,                0.64058,                 1.1994,                 0.9792,                0.96895,                0.98774,                0.71001,                0.97588,                0.56669,                 1.2175,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.0954,                 0.6275,                 1.1909,                0.97213,                0.96606,                0.98492,                0.70394,                0.98331,                0.56561,                 1.2252,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0811,                 0.6197,                 1.1951,                  0.967,                0.97132,                0.97756,                0.70133,                0.96236,                0.60169,                  1.211,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0845,                 0.6164,                 1.1911,                0.98292,                0.96643,                0.98809,                0.70117,                0.98654,                0.55558,                 1.2154,               0.000614,               0.000614,               0.000614
                     38,                 1.0616,                0.61597,                 1.1753,                0.97982,                 0.9593,                0.98628,                0.70838,                0.99407,                0.55075,                 1.2114,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.074,                0.60723,                 1.1897,                0.98046,                0.96265,                0.98757,                0.71317,                0.98411,                0.54654,                 1.2131,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0453,                0.59161,                 1.1593,                0.97668,                0.96675,                0.98728,                0.72029,                0.93917,                0.56507,                  1.199,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0035,                0.58393,                 1.2027,                0.97952,                0.96979,                0.98751,                0.72093,                0.94481,                0.54247,                 1.1937,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0051,                0.56701,                 1.1997,                0.98094,                 0.9721,                0.99087,                0.71733,                0.97514,                0.54459,                 1.1995,               0.000416,               0.000416,               0.000416
                     43,                0.99722,                0.54717,                 1.2058,                0.98282,                0.97104,                0.98988,                0.72938,                0.92548,                0.55046,                 1.1806,              0.0003764,              0.0003764,              0.0003764
                     44,                0.99322,                0.54347,                 1.1991,                0.98103,                0.97646,                0.99165,                0.73106,                0.93241,                0.52747,                 1.1895,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.9873,                0.54493,                 1.2025,                0.97878,                0.97776,                0.98845,                0.73107,                0.91482,                0.53993,                 1.1777,              0.0002972,              0.0002972,              0.0002972
                     46,                0.96892,                0.54018,                 1.1791,                0.98491,                0.97944,                0.99204,                0.74119,                0.92152,                 0.5069,                 1.1693,              0.0002576,              0.0002576,              0.0002576
                     47,                0.98036,                0.52657,                 1.1902,                0.98264,                0.98363,                0.99227,                0.72898,                 0.9676,                0.51262,                 1.1865,               0.000218,               0.000218,               0.000218
                     48,                0.97086,                0.52479,                 1.1825,                0.98479,                0.97843,                0.99202,                0.73929,                0.93245,                0.49383,                 1.1717,              0.0001784,              0.0001784,              0.0001784
                     49,                0.95406,                0.51499,                 1.1678,                0.98351,                0.97634,                 0.9907,                0.74079,                0.90452,                0.50363,                 1.1648,              0.0001388,              0.0001388,              0.0001388
                     50,                0.95387,                0.51112,                 1.1781,                0.98234,                0.98046,                0.99189,                0.74248,                0.93031,                0.48785,                 1.1697,               9.92e-05,               9.92e-05,               9.92e-05
